table,step,raw_rows,kept_rows,removed_rows,note
borrowers,collapse_to_latest_snapshot_per_borrower_id,30600,11015,19585,"Raw feed carries 1-11 snapshot rows per borrower_id with mutually inconsistent name/phone/email/city/state. No reliable resolution exists in a synthetic feed with random per-row attributes, so we apply standard SCD-1 latest-wins by updated_at and flag borrower demographic fields as low-trust for this dataset."
agents,collapse_to_latest_snapshot_per_agent_id,30000,1000,29000,"1,000 real agent_ids carry 14-48 raw rows each with randomly reshuffled employee_code/vendor_id/team/name. agent_id is the only stable key (it is what calls/attempts/dispositions/PTPs/field_visits actually reference), so it is treated as the entity key. employee_code is NOT usable as an identity or dedup key in this feed."
accounts,dedupe_by_account_id,30000,30000,0,No exact duplicates found; account_id is a clean 1:1 key.
calls,drop_exact_duplicate_rows,91350,90079,1271,Ingestion produced full-row duplicates (retries/replays).
calls,dedupe_by_call_id_keep_first,90079,90000,79,Remaining call_id collisions kept as first-seen occurrence.
calls,normalize_timestamp_to_utc,90000,90000,0,event_at is naive-local in the stated timezone (UTC / Asia/Kolkata / Asia/Dubai). Converted to a single canonical UTC timestamp so month/day/hour bucketing is comparable across records; local timestamp retained for calling-time-of-day analysis.
call_attempts,drop_exact_duplicate_rows,120000,120000,0,Full-row duplicates removed.
call_attempts,dedupe_by_attempt_id,120000,120000,0,attempt_id collisions kept as first-seen.
call_dispositions,drop_exact_duplicate_rows,35000,35000,0,Full-row duplicates removed.
call_dispositions,dedupe_by_disposition_id,35000,35000,0,disposition_id collisions kept as first-seen.
call_dispositions,canonicalize_ptp_code_synonym,35000,35000,0,"'PROMISE_TO_PAY' and 'PTP' are the same disposition recorded under two different code strings across all disposition_version values (3,926 rows relabeled to 'PTP'). Uncorrected, this splits one true outcome into two and understates PTP-related rates."
whatsapp_events,drop_exact_duplicate_rows,60600,60000,600,Full-row duplicates removed.
whatsapp_events,dedupe_by_whatsapp_event_id,60000,60000,0,whatsapp_event_id collisions kept as first-seen.
sms_events,drop_exact_duplicate_rows,45000,45000,0,Full-row duplicates removed.
sms_events,dedupe_by_sms_event_id,45000,45000,0,sms_event_id collisions kept as first-seen.
field_visits,drop_exact_duplicate_rows,25000,25000,0,Full-row duplicates removed.
field_visits,dedupe_by_visit_id,25000,25000,0,visit_id collisions kept as first-seen.
promises_to_pay,drop_exact_duplicate_rows,18000,18000,0,Full-row duplicates removed.
promises_to_pay,dedupe_by_ptp_id,18000,18000,0,ptp_id collisions kept as first-seen.
complaints,drop_exact_duplicate_rows,8000,8000,0,Full-row duplicates removed.
complaints,dedupe_by_complaint_id,8000,8000,0,complaint_id collisions kept as first-seen.
account_status_history,drop_exact_duplicate_rows,60000,60000,0,Full-row duplicates removed.
account_status_history,dedupe_by_history_id,60000,60000,0,history_id collisions kept as first-seen.
payments,drop_exact_duplicate_rows,25500,25014,486,486 full-row duplicate payment events removed (retry/ingestion duplicates inflating recovered amount).
payments,dedupe_by_payment_id,25014,25000,14,payment_id collisions kept as first-seen.
payments,flag_suspected_retry_duplicates_not_removed,25000,25000,0,"0 payments share account+amount within 60 minutes of another payment (classic double-submit/retry signature) but carry distinct payment_id/reference. Flagged as suspected_duplicate_retry=True for downstream sensitivity analysis rather than deleted outright, since a same-amount repeat within an hour could legitimately be two different EMI/part-payments; removing them requires business confirmation."
campaigns,dedupe_by_campaign_id,120,120,0,Kept last record per key (latest wins for reference/dimension tables).
daily_targeting,dedupe_by_target_id,45000,45000,0,Kept last record per key (latest wins for reference/dimension tables).
vendor_telephony,dedupe_by_vendor_id,15,15,0,Kept last record per key (latest wins for reference/dimension tables).
